objectid,title,creator,type,design,technique,media,measurements,purpose,date,creationlocation,location,rights,filename,format,filesize,identifier
quilt001,Hannah's Quilt,Willie Belle Bell,PhysicalObject,Baby bear climbing tree with bear claw pattern in corners original design quilt,Sewing Machine Pieced; Appliqué; Hand Quilted; Hand Embroidery,Cotton Fabric; DMC Embroidery Thread,106.6 x 114.3 cm (42 x 45 inches),Wall hanging; Gift for her granddaughter at birth,1998,"Tallahassee, Florida, United States","Ankeny, Iowa, United States",This material may be used for educational purposes only.,quilt1.jpg,image/jpeg,813 KB,wbqc.001
quilt002,Fall Quilt,Willie Belle Bell,PhysicalObject,String pieced block quilt,Sewing Machine Pieced; Hand Quilted; Hand Embroidery,Cotton Fabric; DMC Embroidery Thread,124.4 x 144.7 cm (49 x 57 inches),Lap quilt,2015,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt2.jpg,image/jpeg,653 KB,wbqc.002
quilt003,Nine Patch Quilt,Willie Belle Bell,PhysicalObject,Nine patch block quilt,Sewing Machine Pieced; Machine Quilted,Cotton Fabric; Polyester Blend Fabric,210.8 x 190.5 cm (83 x 75 inches),Full sized bed cover,1980,"DeFuniak Springs, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt3.jpg,image/jpeg,565 KB,wbqc.003
quilt004,Spring Quilt,Willie Belle Bell,PhysicalObject,Tulip square block quilt,Sewing Machine Pieced; Hand Quilted,Cotton Fabric,215.9 x 254 cm (85 x 100 inches),Full sized bed cover,1984,"DeFuniak Springs, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt4.jpg,image/jpeg,575 KB,wbqc.004
quilt005,String Pieced Block Quilt,Willie Belle Bell,PhysicalObject,String pieced block quilt,Sewing Machine Pieced; Hand Quilted,Satin Fabric; Silk Fabric; DMC Embroidery Thread,116.8 x 147.3 cm (46 x 58 inches),Wall hanging,2010,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt5.jpg,image/jpeg,471 KB,wbqc.005
quilt006,Fans Quilt,Willie Belle Bell,PhysicalObject,Fan quilt,Sewing Machine Pieced; Hand Quilted,Cotton Fabric; Cotton Lace,210.8 x 287 cm (83 x 113 inches),Queen sized bed cover; Gift for her daughter,1982,"DeFuniak Springs, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt6.jpg,image/jpeg,546 KB,wbqc.006
quilt007,Blooming Quilt,Willie Belle Bell,PhysicalObject,Flower garden quilt,Hand Pieced; Hand Quilted,Cotton Fabric,172.7 x 223.5 cm (68 x 88 inches),Full sized bed cover,1950,"Glendale, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt7.jpg,image/jpeg,666 KB,wbqc.007
quilt008,Pretty in Pastel Quilt,Willie Belle Bell,PhysicalObject,String pieced block quilt,Sewing Machine Pieced; Hand Quilted; Hand Embroidery,Cotton Blend Fabric; DMC Embroidery Thread,116.8 x 139.7 cm (46 x 55 inches),Lap quilt,2015,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt8.jpg,image/jpeg,764 KB,wbqc.008
quilt009,Butterfly Quilt,Willie Belle Bell,PhysicalObject,Butterflies original design quilt,Hand Drawn Butterflies; Appliqué; Hand Quilted,Cotton Fabric; DMC Embroidery Thread,203.2 x 233.6 cm (80 x 92 inches),Full sized bed cover,1990,"DeFuniak Springs, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt9.jpg,image/jpeg,631 KB,wbqc.009
quilt010,Vase With Flowers Quilt,Willie Belle Bell,PhysicalObject,Vase with flowers original design quilt,Appliqué; Hand Quilted; Hand Embroidery,Cotton Batik Fabric; Cotton Fabric; DMC Embroidery Thread,50.8 x 86.3 cm (20 x 34 inches),Wall hanging,2012,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt10.jpg,image/jpeg,604 KB,wbqc.010
quilt011,Triangles and Fences Quilt,Willie Belle Bell,PhysicalObject,Triangles and fences quilt,Sewing Machine Pieced; Hand Quilted,Cotton Fabric,116.8 x 170.1 cm (46 x 67 inches),Wall hanging,2005,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt11.jpg,image/jpeg,996 KB,wbqc.011
quilt012,Red Roses Quilt,Willie Belle Bell,PhysicalObject,String pieced quilt with rosettes quilt,Sewing Machine Pieced; Hand Quilted,Cotton Fabric; DMC Embroidery Thread,142.2 x 167.6 cm (56 x 66 inches),Wall hanging,2012,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt12.jpg,image/jpeg,563 KB,wbqc.012
quilt013,Bear's Quilt,Willie Belle Bell,PhysicalObject,Fences and blocks quilt,Sewing Machine Pieced; Hand Quilted,Cotton Fabric; DMC Embroidery Thread,114.3 x 134.6 cm (45 x 53 inches),Wall hanging,2008,"Tallahassee, Florida, United States","Grimes, Iowa, United States",This material may be used for educational purposes only.,quilt13.jpg,image/jpeg,609 KB,wbqc.013
